The loss of epoch323is:tf.Tensor(4.958366, shape=(), dtype=float32)
The loss of epoch324is:tf.Tensor(5.011346, shape=(), dtype=float32)
The loss of epoch325is:tf.Tensor(4.875771, shape=(), dtype=float32)
The loss of epoch326is:tf.Tensor(4.9824266, shape=(), dtype=float32)
The loss of epoch327is:tf.Tensor(4.8954363, shape=(), dtype=float32)
The loss of epoch328is:tf.Tensor(4.9173203, shape=(), dtype=float32)
The loss of epoch329is:tf.Tensor(4.8352275, shape=(), dtype=float32)
The loss of epoch330is:tf.Tensor(5.0378213, shape=(), dtype=float32)
The loss of epoch331is:tf.Tensor(5.190837, shape=(), dtype=float32)
The loss of epoch332is:tf.Tensor(4.6861596, shape=(), dtype=float32)
The loss of epoch333is:tf.Tensor(4.7504883, shape=(), dtype=float32)
The loss of epoch334is:tf.Tensor(4.9384847, shape=(), dtype=float32)
The loss of epoch335is:tf.Tensor(5.0033345, shape=(), dtype=float32)
The loss of epoch336is:tf.Tensor(4.8242807, shape=(), dtype=float32)
The loss of epoch337is:tf.Tensor(4.8795147, shape=(), dtype=float32)
The loss of epoch338is:tf.Tensor(4.849429, shape=(), dtype=float32)
The loss of epoch339is:tf.Tensor(4.5607524, shape=(), dtype=float32)
The loss of epoch340is:tf.Tensor(4.876886, shape=(), dtype=float32)
The loss of epoch341is:tf.Tensor(5.035785, shape=(), dtype=float32)
The loss of epoch342is:tf.Tensor(4.810355, shape=(), dtype=float32)
The loss of epoch343is:tf.Tensor(4.920371, shape=(), dtype=float32)
The loss of epoch344is:tf.Tensor(4.8509, shape=(), dtype=float32)
The loss of epoch345is:tf.Tensor(4.9715843, shape=(), dtype=float32)
The loss of epoch346is:tf.Tensor(5.0373726, shape=(), dtype=float32)
The loss of epoch347is:tf.Tensor(4.688622, shape=(), dtype=float32)
The loss of epoch348is:tf.Tensor(4.773692, shape=(), dtype=float32)
The loss of epoch349is:tf.Tensor(4.968018, shape=(), dtype=float32)
The loss of epoch350is:tf.Tensor(4.8987713, shape=(), dtype=float32)
The loss of epoch351is:tf.Tensor(5.031025, shape=(), dtype=float32)
The loss of epoch352is:tf.Tensor(4.8588047, shape=(), dtype=float32)
The loss of epoch353is:tf.Tensor(4.9566984, shape=(), dtype=float32)
The loss of epoch354is:tf.Tensor(5.044139, shape=(), dtype=float32)
The loss of epoch355is:tf.Tensor(5.0319853, shape=(), dtype=float32)
The loss of epoch356is:tf.Tensor(5.013876, shape=(), dtype=float32)
The loss of epoch357is:tf.Tensor(5.1005282, shape=(), dtype=float32)
The loss of epoch358is:tf.Tensor(5.0047655, shape=(), dtype=float32)
The loss of epoch359is:tf.Tensor(4.9212084, shape=(), dtype=float32)
The loss of epoch360is:tf.Tensor(4.8377748, shape=(), dtype=float32)
The loss of epoch361is:tf.Tensor(4.6092534, shape=(), dtype=float32)
The loss of epoch362is:tf.Tensor(4.67468, shape=(), dtype=float32)
The loss of epoch363is:tf.Tensor(4.9095387, shape=(), dtype=float32)
The loss of epoch364is:tf.Tensor(4.90241, shape=(), dtype=float32)
The loss of epoch365is:tf.Tensor(4.7310295, shape=(), dtype=float32)
The loss of epoch366is:tf.Tensor(4.8591595, shape=(), dtype=float32)
The loss of epoch367is:tf.Tensor(4.754465, shape=(), dtype=float32)
The loss of epoch368is:tf.Tensor(4.770541, shape=(), dtype=float32)
The loss of epoch369is:tf.Tensor(5.040188, shape=(), dtype=float32)
The loss of epoch370is:tf.Tensor(4.661487, shape=(), dtype=float32)
The loss of epoch371is:tf.Tensor(4.824949, shape=(), dtype=float32)
The loss of epoch372is:tf.Tensor(4.8529997, shape=(), dtype=float32)
The loss of epoch373is:tf.Tensor(4.9390736, shape=(), dtype=float32)
The loss of epoch374is:tf.Tensor(4.996546, shape=(), dtype=float32)
The loss of epoch375is:tf.Tensor(5.025775, shape=(), dtype=float32)
The loss of epoch376is:tf.Tensor(4.7634, shape=(), dtype=float32)
The loss of epoch377is:tf.Tensor(4.798192, shape=(), dtype=float32)
The loss of epoch378is:tf.Tensor(4.6361, shape=(), dtype=float32)
The loss of epoch379is:tf.Tensor(4.6707115, shape=(), dtype=float32)
The loss of epoch380is:tf.Tensor(4.9480066, shape=(), dtype=float32)
The loss of epoch381is:tf.Tensor(4.66459, shape=(), dtype=float32)
The loss of epoch382is:tf.Tensor(4.8071856, shape=(), dtype=float32)
The loss of epoch383is:tf.Tensor(4.6502, shape=(), dtype=float32)
